Position_Budget_ID,Fiscal_Year,Position_ID,Position_Title,Department_ID,Department_Name,Cost_Center_ID,Approved_Position,Budgeted_Position,Position_Status,Full_Time_Equivalent_Capacity,Annual_Salary_Budget,Annual_Benefits_Budget,Annual_Employer_Tax_and_Contribution_Budget,Annual_Recruitment_Budget,Annual_Training_Budget,Total_Annual_Position_Cost_Budget,Budget_Start_Date,Budget_End_Date,Budget_Status,Budget_Currency,Data_As_Of_Date
POSITION-BUDGET-0226,2026,POS-219,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0227,2026,POS-220,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0228,2026,POS-221,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0229,2026,POS-222,HR Assistant,DEPARTMENT-001,HR,COST-CENTER-HR,No,No,Filled,1.0,0,0,0,0,0,0,2026-01-01,2026-12-31,Not Funded,PKR,2026-08-01
POSITION-BUDGET-0230,2026,POS-223,HR Intern,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,454000,90800,36320,0,15000,596120,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0231,2026,POS-224,HR Intern,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,454000,90800,36320,0,15000,596120,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0232,2026,POS-225,HR Intern,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,0.5,227000,45400,18160,0,15000,305560,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0233,2026,POS-226,Finance Manager,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,4990000,998000,399200,0,89820,6477020,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0234,2026,POS-227,Finance Manager,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,4990000,998000,399200,0,89820,6477020,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0235,2026,POS-228,Finance Manager,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,4990000,998000,399200,0,89820,6477020,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0236,2026,POS-229,Finance Manager,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,4990000,998000,399200,0,89820,6477020,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0237,2026,POS-230,Finance Manager,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,4990000,998000,399200,0,89820,6477020,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0238,2026,POS-231,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0239,2026,POS-232,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0240,2026,POS-233,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0241,2026,POS-234,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0242,2026,POS-235,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0243,2026,POS-236,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0244,2026,POS-237,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0245,2026,POS-238,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0246,2026,POS-239,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0247,2026,POS-240,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0248,2026,POS-241,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0249,2026,POS-242,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0250,2026,POS-243,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0251,2026,POS-244,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0252,2026,POS-245,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0253,2026,POS-246,Accounts Assistant,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0254,2026,POS-247,Finance Intern,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,0.5,249000,49800,19920,0,15000,333720,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0255,2026,POS-248,Finance Intern,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,0.5,249000,49800,19920,0,15000,333720,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0256,2026,POS-249,Finance Intern,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,499000,99800,39920,0,15000,653720,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0257,2026,POS-250,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0258,2026,POS-251,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0259,2026,POS-252,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0260,2026,POS-253,Sales Intern,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,476000,95200,38080,0,15000,624280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0261,2026,POS-254,Sales Intern,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,476000,95200,38080,0,15000,624280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0262,2026,POS-255,Sales Intern,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,476000,95200,38080,0,15000,624280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0263,2026,POS-256,Senior Customer Support Specialist,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0264,2026,POS-257,Senior Customer Support Specialist,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0265,2026,POS-258,Senior Customer Support Specialist,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0266,2026,POS-259,Customer Support Specialist,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0267,2026,POS-260,Customer Support Specialist,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0268,2026,POS-261,Customer Support Intern,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,0.5,193000,38600,15440,0,15000,262040,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0269,2026,POS-262,Customer Support Intern,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,386000,77200,30880,0,15000,509080,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0270,2026,POS-263,Customer Support Intern,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,0.5,193000,38600,15440,0,15000,262040,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0271,2026,POS-264,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0272,2026,POS-265,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0273,2026,POS-266,Junior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0274,2026,POS-267,Junior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0275,2026,POS-268,Junior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0276,2026,POS-269,Engineering Intern,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,0.5,284000,56800,22720,0,15000,378520,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0277,2026,POS-270,Engineering Intern,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,567000,113400,45360,0,15000,740760,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0278,2026,POS-271,Engineering Intern,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,567000,113400,45360,0,15000,740760,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0279,2026,POS-272,Operations Manager,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,4082000,816400,326560,0,73476,5298436,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0280,2026,POS-273,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0281,2026,POS-274,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0282,2026,POS-275,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0283,2026,POS-276,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0284,2026,POS-277,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0285,2026,POS-278,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0286,2026,POS-279,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0287,2026,POS-280,Senior Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,2566000,513200,205280,0,46188,3330668,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0288,2026,POS-281,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0289,2026,POS-282,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0290,2026,POS-283,Operations Intern,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,408000,81600,32640,0,15000,537240,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0291,2026,POS-284,Operations Intern,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,0.5,204000,40800,16320,0,15000,276120,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0292,2026,POS-285,Operations Intern,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,408000,81600,32640,0,15000,537240,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0293,2026,POS-286,IT Manager,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0294,2026,POS-287,IT Manager,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0295,2026,POS-288,IT Manager,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0296,2026,POS-289,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0297,2026,POS-290,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0298,2026,POS-291,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0299,2026,POS-292,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0300,2026,POS-293,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0301,2026,POS-294,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0302,2026,POS-295,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0303,2026,POS-296,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0304,2026,POS-297,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0305,2026,POS-298,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0306,2026,POS-299,IT Support Technician,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0307,2026,POS-300,IT Support Technician,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0308,2026,POS-301,IT Support Technician,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0309,2026,POS-302,IT Support Technician,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0310,2026,POS-303,IT Support Technician,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0311,2026,POS-304,IT Support Technician,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0312,2026,POS-305,IT Support Technician,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0313,2026,POS-306,IT Intern,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,522000,104400,41760,0,15000,683160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0314,2026,POS-307,IT Intern,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,522000,104400,41760,0,15000,683160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0315,2026,POS-308,IT Intern,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,522000,104400,41760,0,15000,683160,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0316,2026,EXEC-MED-HEAD,Head of Medical Care,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,9688000,1937600,775040,0,174384,12575024,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0317,2026,POS-309,Medical Care Manager,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0318,2026,POS-310,Medical Care Manager,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0319,2026,POS-311,Medical Care Manager,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0320,2026,POS-312,Medical Care Manager,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0321,2026,POS-313,Medical Care Manager,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0322,2026,POS-314,Medical Care Manager,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0323,2026,POS-315,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0324,2026,POS-316,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0325,2026,POS-317,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0326,2026,POS-318,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0327,2026,POS-319,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0328,2026,POS-320,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0329,2026,POS-321,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0330,2026,POS-322,Senior Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0331,2026,POS-323,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0332,2026,POS-324,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0333,2026,POS-325,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0334,2026,POS-326,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0335,2026,POS-327,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0336,2026,POS-328,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0337,2026,POS-329,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0338,2026,POS-330,Medical Officer,DEPARTMENT-008,Medical Care,COST-CENTER-MED,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
